product,url,price,amount,unit,nutriscore,carbs_100g,protein_100g,fat_100g,alcohol_100g,calories_100g,calories,protein,carbs,fat,alcohol,perc_calories_protein,perc_calories_carbs,perc_calories_fat,perc_calories_alcohol,price_1000_calories,price_100g_protein,price_100g_carbs,price_100g_fat
AH Volkoren havermout fijne vlokken,https://www.ah.nl/producten/product/wi368020/ah-volkoren-havermout-fijne-vlokken,1.09,450.0,g,A,59.0,14.0,7.0,0.0,355.0,1597.5,63.0,265.5,31.5,0.0,0.15774647887323945,0.6647887323943662,0.17746478873239438,0.0,0.6823161189358372,1.7301587301587305,0.41054613935969875,3.460317460317461
Choca Vlokken,https://www.ah.nl/producten/product/wi56401/choca-vlokken,1.35,300.0,g,,79.0,1.6,15.0,0.0,457.4,1372.2,4.8,237.0,45.0,0.0,0.0139921294271972,0.6908613904678618,0.29514648010494093,0.0,0.9838216003498031,28.125,0.569620253164557,3.0
AH Pindakaas naturel,https://www.ah.nl/producten/product/wi461685/ah-pindakaas-naturel,2.29,600.0,g,C,10.0,23.0,55.0,0.0,627.0,3762.0,138.0,60.0,330.0,0.0,0.1467304625199362,0.06379585326953748,0.7894736842105263,0.0,0.6087187666135034,1.6594202898550725,3.816666666666667,0.693939393939394
AH Biologisch Volkoren havermout fijn,https://www.ah.nl/producten/product/wi475244/ah-biologisch-volkoren-havermout-fijn,2.49,900.0,g,A,58.0,13.0,6.9,0.0,346.1,3114.9,117.0,522.0,62.1,0.0,0.15024559375902918,0.6703264952325917,0.17942791100837907,0.0,0.7993836078204758,2.1282051282051286,0.4770114942528736,4.009661835748792
AH Chocoladepasta melk,https://www.ah.nl/producten/product/wi55729/ah-chocoladepasta-melk,2.49,400.0,g,E,55.0,3.0,38.0,0.0,574.0,2296.0,12.0,220.0,152.0,0.0,0.020905923344947737,0.3832752613240418,0.5958188153310104,0.0,1.0844947735191637,20.750000000000004,1.131818181818182,1.6381578947368423
AH Chocoladepasta puur,https://www.ah.nl/producten/product/wi55732/ah-chocoladepasta-puur,2.49,400.0,g,E,52.0,2.5,39.0,0.0,569.0,2276.0,10.0,208.0,156.0,0.0,0.01757469244288225,0.3655536028119508,0.616871704745167,0.0,1.09402460456942,24.900000000000002,1.1971153846153848,1.5961538461538463
AH Muesli naturel,https://www.ah.nl/producten/product/wi438127/ah-muesli-naturel,1.99,1000.0,g,A,61.0,11.0,4.0,0.0,324.0,3240.0,110.0,610.0,40.0,0.0,0.13580246913580246,0.7530864197530864,0.1111111111111111,0.0,0.6141975308641975,1.809090909090909,0.3262295081967213,4.975
AH Speculoospasta,https://www.ah.nl/producten/product/wi448346/ah-speculoospasta,1.79,400.0,g,E,50.0,2.8,39.0,0.0,562.2,2248.8,11.2,200.0,156.0,0.0,0.019921736036997508,0.3557452863749555,0.624332977588047,0.0,0.7959800782639629,15.982142857142858,0.895,1.1474358974358974
AH Extra aardbeienjam,https://www.ah.nl/producten/product/wi479175/ah-extra-aardbeienjam,1.59,600.0,g,D,60.0,0.4,0.2,0.0,243.4,1460.4,2.4,360.0,1.2,0.0,0.00657354149548069,0.9860312243221034,0.007395234182415776,0.0,1.0887428101889893,66.25,0.44166666666666665,132.5
AH Hagelslag puur,https://www.ah.nl/producten/product/wi1608/ah-hagelslag-puur,1.99,400.0,g,E,67.0,5.2,16.0,0.0,432.8,1731.2,20.8,268.0,64.0,0.0,0.04805914972273567,0.6192236598890942,0.33271719038817005,0.0,1.1494916820702403,9.567307692307692,0.7425373134328358,3.109375
