Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt,Url
vlees-kip-vis-vega,3.99,AH Schnitzel Hongaarse stijl,"2 stuksPrijs per KG € 13,30",Nutri-Score C,False,False,,,15 g,681 kJ (162 kcal),,,,16 g,,,,,,3.8 g,,,,,,,,,,,,1.7 g,,,2.2 g,,1.3 g,,,
vlees-kip-vis-vega,8.36,Unox Preistamppot,per pakket,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vlees-kip-vis-vega,3.29,Valess Schnitzel Gouda,"2 x 90 gPrijs per KG € 18,28",,False,False,,647 mg,14.3 g,912 kJ (218 kcal),,2.2 mg,,16.7 g,,,,,,9.6 g,,,,,,,,,,,,3.5 g,,,,,2.6 g,,,
vlees-kip-vis-vega,3.99,AH Biologisch Runderchipolata,5 stuks,Nutri-Score D,False,False,,,19 g,1092 kJ (263 kcal),,,,1.6 g,,,,,,20 g,,,,,,,,,,,,0.2 g,,,8.4 g,,8.6 g,,,
vlees-kip-vis-vega,4.59,AH Mager spekblokjes,"250 gPrijs per KG € 18,36",Nutri-Score D,False,False,,,22 g,568 kJ (135 kcal),,,,0.5 g,,,,,,5 g,,,,,,,,,,,,0 g,,,2.9 g,,2.1 g,,,
vlees-kip-vis-vega,2.99,AH Scharrel kipsateschnitzel 2 stuks,"250 gPrijs per KG € 11,96",Nutri-Score C,False,False,,,11 g,1002 kJ (239 kcal),,,,21 g,,,,,,12 g,,,,,,,,,,,,1.7 g,,,9.6 g,,2.8 g,,,
vlees-kip-vis-vega,3.99,AH Biologisch Bio hoh gehakt 300 gram,"300 gPrijs per KG € 13,30",Nutri-Score C,False,False,,,20 g,937 kJ (225 kcal),,,,0.3 g,,,,,,16 g,,,,,,,,,,,,0 g,,,7.7 g,,6.4 g,,,
vlees-kip-vis-vega,2.96,AH Schouderkarbonade,"ca. 415 gPrijs per KG € 7,13",Nutri-Score B,False,False,,,19 g,767 kJ (184 kcal),,,,0 g,,,,,,12 g,,,,,,,,,,,,0 g,,,6.4 g,,4.7 g,,,
vlees-kip-vis-vega,1.27,AH Biologisch Vegan tofu naturel,"375 gPrijs per KG € 3,91",Nutri-Score A,True,True,,,13 g,526 kJ (126 kcal),,,,1 g,,,,,,7.6 g,,,,,,,,,,,,0.9 g,,,6.3 g,,1.3 g,,,
vlees-kip-vis-vega,3.85,Vegetarische Slager Vegan kipstuckjes,"160 gNormale prijs per KG € 24,06",,False,False,,,21 g,142 kcal (595 kJ),,3.7 mg,,2.9 g,,,,,,3.6 g,,,,,,,,,,,,6.2 g,,,,,0.4 g,,,
vlees-kip-vis-vega,4.39,AH Shoarma,"500 gPrijs per KG € 8,78",Nutri-Score B,False,False,,,20 g,663 kJ (158 kcal),,,,1.4 g,,,,,,8 g,,,,,,,,,,,,0.4 g,,,5.2 g,,2.3 g,,,
vlees-kip-vis-vega,6.49,AH Half-om-half gehakt,"1 kgPrijs per KG € 6,49",Nutri-Score C,False,False,,,20 g,947 kJ (228 kcal),,,,0.9 g,,,,,,16 g,,,,,,,,,,,,0 g,,,7.5 g,,6.7 g,,,
vlees-kip-vis-vega,1.82,AH Vegetarische kip stukjes,"160 gPrijs per KG € 11,38",Nutri-Score C,False,True,,,21 g,698 kJ (167 kcal),,4.4 mg,,2.2 g,,,,,,8 g,,,,,,,,,,,,0.9 g,,,7.2 g,,0.8 g,,,
vlees-kip-vis-vega,1.29,Statesman Tonijn stukken in zonnebloemolie,"160 gPrijs per KG € 8,06",,False,False,,,23.5 g,751 kJ (180 kcal),,,,< 0.1 g,,,,,,9.5 g,,,,,,,,,,,,,,,,,1.6 g,,,
vlees-kip-vis-vega,3.19,Unox Rookworst extra mager,"275 gPrijs per KG € 11,60",,False,False,,,15 g,195 kcal (775 kJ),,,,1.9 g,,,,,,13 g,,,,,,,,,,,,< 0.5 g,,,,,5.2 g,,,
vlees-kip-vis-vega,3.99,Beyond Meat Plant-based burger,"227 gPrijs per KG € 17,58",,False,False,,,17 g,1047 kJ (252 kcal),,,,3.5 g,,,,,,19 g,,,,,,,,,,,,,,,,,5.6 g,,,
vlees-kip-vis-vega,6.49,AH Biologisch Rundergehakt,"500 gPrijs per KG € 12,98",Nutri-Score C,False,False,,,20 g,974 kJ (234 kcal),,,,0.3 g,,,,,,17 g,,,,,,,,,,,,0 g,,,7.2 g,,7.4 g,,,
vlees-kip-vis-vega,3.05,Vivera Krokante schnitzel,"200 gPrijs per KG € 15,25",,False,False,,,14 g,849 kJ (203 kcal),,2.1 mg,,17 g,,,,,,7.4 g,,,,,,,,,,,,5 g,,,,,0.8 g,,,
vlees-kip-vis-vega,3.99,AH Greenfields Beefburger jalapeno,"2 stuksPrijs per KG € 15,96",Nutri-Score D,False,False,,,19 g,1105 kJ (266 kcal),,,,2.2 g,,,,,,20 g,,,,,,,,,,,,0.6 g,,,8.9 g,,9 g,,,
vlees-kip-vis-vega,4.99,AH Scharrel kipfilethaasjes,"300 gPrijs per KG € 16,63",Nutri-Score A,False,False,,,25 g,482 kJ (114 kcal),,,,0 g,,,,,,1.2 g,,,,,,,,,,,,1.6 g,,,0.7 g,,0.5 g,,,
vlees-kip-vis-vega,15.96,AH Beefburger naturel 4-pack,per pakket,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vlees-kip-vis-vega,2.79,AH Biologisch Ontbijtspek,"ca. 100 gPrijs per KG € 27,90",,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vlees-kip-vis-vega,3.99,AH Greenfields Beefburger bacon,2 stuks,Nutri-Score D,False,False,,,18 g,1081 kJ (260 kcal),,,,2 g,,,,,,20 g,,,,,,,,,,,,0.1 g,,,9.3 g,,8.7 g,,,
vlees-kip-vis-vega,2.99,Vegetarische Slager Vegan rul gehackt,"200 gNormale prijs per KG € 14,95",,False,False,,,24 g,125 kcal (529 kJ),,4.2 mg,,2.9 g,,,,,,0.5 g,,,,,,,,,,,,6.4 g,,,,,0.1 g,,,
vlees-kip-vis-vega,6.99,AH Hamburger,8 stuks,Nutri-Score D,False,False,,,18 g,1167 kJ (281 kcal),,,,2.6 g,,,,,,22 g,,,,,,,,,,,,0.3 g,,,9.6 g,,9.8 g,,,
vlees-kip-vis-vega,22.76,AH Kipfilet 4-pack,per pakket,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vlees-kip-vis-vega,4.94,AH Makreelfilet graatloos,"ca. 165 gPrijs per KG € 29,94",Nutri-Score C,False,False,,,22 g,1040 kJ (250 kcal),,,,0 g,,,,,,18 g,,,,,,,,,,,,0 g,,,13 g,,5 g,,,
vlees-kip-vis-vega,1.99,AH Gerookte zalmfilet,"50 gPrijs per KG € 39,80",Nutri-Score D,False,False,,,23 g,798 kJ (191 kcal),,,,0 g,,,,,,11 g,,,,,,,,,,,,0 g,,,7.1 g,,3.9 g,,,
