Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt,Url
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,3.89,AH Pastasalade kip bacon,"350 gPrijs per KG € 11,11",Nutri-Score B,False,False,,,7.3 g,722 kJ (173 kcal),,,,15 g,,,,,,9.1 g,,,,,,,,,,,,0.8 g,,,7.5 g,,1.4 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.99,AH Zeekraal,"100 gPrijs per KG € 29,90",Nutri-Score B,True,True,,,3.1 g,117 kJ (28 kcal),,,,2 g,,,,,,0.3 g,,,,,,,,,,,,2.4 g,,,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,3.89,AH Pastasalade pittige kip,"350 gPrijs per KG € 11,11",Nutri-Score B,False,False,,,6.3 g,579 kJ (138 kcal),,,,14 g,,,,,,6.1 g,,,,,,,,,,,,1 g,,,5.1 g,,1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.24,AH Tutti frutti,"375 gPrijs per KG € 5,97",Nutri-Score B,True,True,,,2.5 g,1107 kJ (262 kcal),,,,58 g,,,,,,0.5 g,,,,,,,,,,,,7.5 g,,,0.2 g,,0.3 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.29,AH Vers sap sinas-ananas kiwi,"500 mlPrijs per LT € 4,58",Nutri-Score B,False,True,,,0.5 g,149 kJ (35 kcal),,,,8 g,,,,,,0 g,,,,,,,,38 mg,,,,0.5 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,3.99,AH Indonesische soto verspakket,per stuk,Nutri-Score B,False,False,,,6.7 g,344 kJ (82 kcal),,,,9.6 g,,,,,,1.5 g,,,,,,,,,,,,1.4 g,,,0.8 g,,0.6 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,1.09,AH Mini krieltjes sweet onion,"450 gPrijs per KG € 2,42",Nutri-Score B,True,True,,,1.9 g,340 kJ (80 kcal),,,,17 g,,,,,,0.02 g,,,,,,,,,,,,2.3 g,,,0.02 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.69,AH Aardappel ovenschaal knoflook rozemarijn,"450 gPrijs per KG € 5,98",Nutri-Score B,True,True,,,2.1 g,458 kJ (109 kcal),,,,18 g,,,,,,2.7 g,,,,,,,,,,,,2 g,,,2.4 g,,0.4 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.69,AH Aardappel ovenschaal groene kruiden,"450 gPrijs per KG € 5,98",Nutri-Score B,True,True,,,2 g,501 kJ (119 kcal),,,,17 g,,,,,,4.4 g,,,,,,,,,,,,1.9 g,,,3.8 g,,0.6 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.69,AH Pruimen gedroogd,"190 gPrijs per KG € 14,16",Nutri-Score B,True,True,,,2.4 g,1060 kJ (250 kcal),,,,56 g,,,,,,0.3 g,,,,,,,,,,,,7 g,,,0.2 g,,0.2 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.69,AH Aardappel ovenschaal spek en ui,"450 gPrijs per KG € 5,98",Nutri-Score B,False,False,,,2.6 g,494 kJ (118 kcal),,,,17 g,,,,,,3.9 g,,,,,,,,,,,,2 g,,,3.1 g,,0.8 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.29,AH Vers groentesap komkommer,"0,5 lPrijs per LT € 4,58",Nutri-Score B,False,False,,,0.7 g,76 kJ (18 kcal),,,,3.6 g,,,,,,0 g,,,,,,,,29.1 mg,,,,0.3 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,3.99,AH Rode bietensoep verspakket,per stuk,Nutri-Score B,False,False,,,1.3 g,182 kJ (44 kcal),,,,3.5 g,,,,,,2.4 g,,,,,,,,,,,,1.4 g,,,1.4 g,,0.9 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,1.99,Moonpop Veggiez sea salt,"85 gPrijs per KG € 23,41",Nutri-Score B,False,False,,,9.3 g,1666 kJ (396 kcal),,,,63.3 g,,,,,,9.6 g,,,,,,,,,,,,9.6 g,,,,,0.9 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,4.99,AH Couscous pompoen spinazie verspakket,per stuk,Nutri-Score B,False,True,,,4 g,449 kJ (107 kcal),,,,10 g,,,,,,5.4 g,,,,,,,,,,,,1.4 g,,,2.3 g,,2.4 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,3.99,AH Kleine salade zoete aardappel curry,"290 gPrijs per KG € 13,76",Nutri-Score B,False,True,,,4.3 g,521 kJ (125 kcal),,,,8.6 g,,,,,,7.7 g,,,,,,,,,,,,2.1 g,,,5.2 g,,2.4 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,3.59,AH Vijgen,"250 gPrijs per KG € 14,36",Nutri-Score B,True,True,,,3.5 g,1261 kJ (298 kcal),,,,64 g,,,,,,0.9 g,,,,,,,,,,,,10 g,,,0 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.99,AH Gedroogde pruimen,"230 gPrijs per KG € 13,00",Nutri-Score B,False,False,0 g,,2.4 g,1060 kJ (250 kcal),,,,56 g,,,,,,0.3 g,,,,,,,,,,,,7 g,0.1 g,0.1 g,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.29,AH Abrikoos gedroogd,"190 gPrijs per KG € 12,05",Nutri-Score B,True,True,,,0.6 g,999 kJ (236 kcal),,,,56 g,,,,,,0.1 g,,,,,,,,,,,,4.1 g,,,0.06 g,,0.09 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,1.85,AH Krenten,"250 gPrijs per KG € 7,40",Nutri-Score B,False,True,,,4 g,1393 kJ (329 kcal),,,,74 g,,,,,,0.3 g,,,,,,,,,,,,7 g,0 g,0.2 g,0.2 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,1.89,AH Vers groentesap spinazie avocado appel,"250 mlPrijs per LT € 7,56",Nutri-Score B,True,True,,,0.6 g,231 kJ (56 kcal),,,,4 g,,,,,,3.9 g,,,,,,,,,,,,1 g,,,3.2 g,,0.6 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,1.99,Moonpop Veggiez sweet bbq,"85 gPrijs per KG € 23,41",Nutri-Score B,False,False,,,9.6 g,1697 kJ (403 kcal),,,,63.6 g,,,,,,10.4 g,,,,,,,,,,,,8.2 g,,,,,1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,6.99,AH Biologisch Vijgen,"500 gPrijs per KG € 13,98",Nutri-Score B,False,True,,,3.5 g,1230 kJ (290 kcal),,,,57 g,,,,,,3 g,,,,,,,,,,,,11 g,,,2.5 g,,0.4 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,1.99,Moonpop Curls sour cream & onion flavour,"80 gPrijs per KG € 24,88",Nutri-Score B,False,False,,,14 g,1586 kJ (379 kcal),,,,53 g,,,,,,9.6 g,,,,,,,,,,,,11 g,,,,,0.9 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,5.19,AH Biologisch Gojibessen,"175 gPrijs per KG € 29,66",Nutri-Score B,False,True,,,13 g,1240 kJ (295 kcal),,,,43 g,,,,,,3.5 g,,,,,,,,,,,,20 g,,,3 g,,0.7 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.45,AH Fruitspread aardbei 81%,"335 gPrijs per KG € 7,31",Nutri-Score B,True,True,,,0.5 g,500 kJ (118 kcal),,,,28 g,,,,,,0.1 g,,,,,,,,,,,,1.5 g,,,0.09 g,,0.03 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,3.49,AH Oesterzwam shoarma gekruid,"236 gPrijs per KG € 14,79",Nutri-Score B,True,True,,,3 g,582 kJ (140 kcal),,,,6.1 g,,,,,,11 g,,,,,,,,,,,,2.5 g,,,9 g,,1.2 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,3.49,AH Biologisch Bessenmix,"175 gPrijs per KG € 19,94",Nutri-Score B,False,True,,,4.2 g,1353 kJ (320 kcal),,,,66 g,,,,,,2.3 g,,,,,,,,,,,,9.3 g,,,1.3 g,,0.4 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.99,AH Gedroogde vijgen,"230 gPrijs per KG € 13,00",Nutri-Score B,False,False,0 g,,3.3 g,1086 kJ (257 kcal),,,,54 g,,,,,,0.9 g,,,,,,,,,,,,9.8 g,0.2 g,0.3 g,0.5 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.45,AH Fruitspread abrikoos 81%,"335 gPrijs per KG € 7,31",Nutri-Score B,True,True,,,0.6 g,503 kJ (119 kcal),,,,28 g,,,,,,0.1 g,,,,,,,,,,,,1.6 g,,,0.09 g,,0.03 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.45,AH Fruitspread viervrucht 81%,"335 gPrijs per KG € 7,31",Nutri-Score B,True,True,,,0.6 g,500 kJ (118 kcal),,,,28 g,,,,,,0.04 g,,,,,,,,,,,,1.5 g,,,0.03 g,,0.01 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,3.99,AH Biologisch Gedroogde Banaan,"300 gPrijs per KG € 13,30",Nutri-Score B,False,True,,,3.4 g,1428 kJ (338 kcal),,,,73 g,,,,,,1.1 g,,,,,,,,,,,,11 g,,,0.5 g,,0.6 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Ab,2.78,AH Zoete aardappel oranje los,"1 kilogramPrijs per KG € 2,78",Nutri-Score B,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
