Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
snoep-koek-chips-en-chocolade,1.35,AH Nacho chips naturel,"200 gPrijs per KG € 6,75",Nutri-Score B,True,True,https://www.ah.nl/producten/product/wi191601/ah-nacho-chips-naturel,,,6.6 g,1972 kJ (470 kcal),,,,64 g,,,,,,20 g,,,,,,,,,,,,4 g,,,18 g,,2 g,,
snoep-koek-chips-en-chocolade,0.77,AH Biscuits volkoren met tarwebloem,"300 gPrijs per KG € 2,57",Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi1041/ah-biscuits-volkoren-met-tarwebloem,,,8.4 g,1934 kJ (460 kcal),,,,68 g,,,,,,16 g,,,,,,,,,,,,5.4 g,,,14 g,,1.3 g,,
snoep-koek-chips-en-chocolade,1.55,AH Roomboter kano's,"270 gNormale prijs per KG € 5,74",Nutri-Score E,False,False,https://www.ah.nl/producten/product/wi517311/ah-roomboter-kano-s,,,6.2 g,1783 kJ (425 kcal),,,,63 g,,,,,,16 g,,,,,,,,,,,,1.5 g,,,5.9 g,,9.4 g,,
snoep-koek-chips-en-chocolade,0.59,AH Tablet melk,"100 gPrijs per KG € 5,90",Nutri-Score E,False,True,https://www.ah.nl/producten/product/wi35362/ah-tablet-melk,,,7 g,2253 kJ (540 kcal),,,,55 g,,,,,,32 g,,,,,,,,,,,,1.9 g,,,13 g,,20 g,,
snoep-koek-chips-en-chocolade,1.49,AH Roomboter gesuikerde krakelingen,"230 gNormale prijs per KG € 6,48",Nutri-Score E,False,True,https://www.ah.nl/producten/product/wi517274/ah-roomboter-gesuikerde-krakelingen,,,5.8 g,1998 kJ (477 kcal),,,,59 g,,,,,,24 g,,,,,,,,,,,,1.1 g,,,0.3 g,,16 g,,
snoep-koek-chips-en-chocolade,2.99,Tony's Chocolonely Melk karamel zeezout,"180 gPrijs per KG € 16,61",,False,False,https://www.ah.nl/producten/product/wi213928/tony-s-chocolonely-melk-karamel-zeezout,,,7 g,2240 kJ (536 kcal),,,,53.2 g,,,,,,32 g,,,,,,,,,,,,,,,,,19.4 g,,
snoep-koek-chips-en-chocolade,2.49,AH Ongebrande noten mix,"200 gPrijs per KG € 12,45",Nutri-Score B,True,True,https://www.ah.nl/producten/product/wi397829/ah-ongebrande-noten-mix,,,19 g,2688 kJ (650 kcal),,,,10 g,,202.5 mg,,,,58 g,,,,,,,,,12.3 mg,,,6.1 g,,,49 g,,7.1 g,,
snoep-koek-chips-en-chocolade,1.99,Chio Heartbreakers classic partypack,"170 gPrijs per KG € 11,71",,False,True,https://www.ah.nl/producten/product/wi451524/chio-heartbreakers-classic-partypack,,,4.5 g,2128 kJ (509 kcal),,,,56.7 g,,,,,,28.9 g,,,,,,,,,,,,2.3 g,,,,,2.3 g,,
snoep-koek-chips-en-chocolade,1.55,AH Roomboter spritsen,"175 gNormale prijs per KG € 8,86",Nutri-Score E,False,True,https://www.ah.nl/producten/product/wi517508/ah-roomboter-spritsen,,,6.3 g,2234 kJ (535 kcal),,,,59 g,,,,,,30 g,,,,,,,,,,,,1.7 g,,,9.8 g,,19 g,,
snoep-koek-chips-en-chocolade,2.49,Liga Milkbreak koeken melk,"245 gNormale prijs per KG € 10,16",,False,False,https://www.ah.nl/producten/product/wi132032/liga-milkbreak-koeken-melk,,438 mg,9.2 g,1875 kJ (447 kcal),,7.7 mg,,63 g,,,,,,17 g,,,,,,,1.4 mg,,,,,2.6 g,,,,,6.3 g,,
snoep-koek-chips-en-chocolade,0.59,AH Tablet puur,"100 gPrijs per KG € 5,90",Nutri-Score E,False,True,https://www.ah.nl/producten/product/wi196282/ah-tablet-puur,,,7.2 g,2133 kJ (512 kcal),,,,50 g,,,,,,29 g,,,,,,,,,,,,11 g,,,11 g,,18 g,,
snoep-koek-chips-en-chocolade,2.09,Peijnenburg Ontbijtkoek original gesneden,"485 gNormale prijs per KG € 4,31",,False,False,https://www.ah.nl/producten/product/wi450447/peijnenburg-ontbijtkoek-original-gesneden,,,2.5 g,1294 kJ (305 kcal),,,,69.1 g,,,,,,1.3 g,,,,,,,,,,,,3.6 g,,,,,0.3 g,,
