Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt,Url
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.09,AH Knoflook,2 stuks,Nutri-Score A,False,False,,,6.4 g,671 kJ (158 kcal),,,,31 g,,,,,,0.5 g,,,,,,,,,,,,2.1 g,0 g,0.4 g,,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,0.89,AH Fijngesneden ijsbergsla,"100 gPrijs per KG € 8,90",Nutri-Score A,True,True,,,1 g,58 kJ (14 kcal),,,,1.4 g,,,,,,0.2 g,,,,,,,,,,,,1.2 g,,,0.1 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.99,AH Boerenkool,"300 gPrijs per KG € 6,63",Nutri-Score A,True,True,,,3 g,138 kJ (33 kcal),,,,1.6 g,,,,,,0.6 g,,,,,,,,,,,,4.7 g,,,0.3 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.19,AH Rucola slamelange,"75 gNormale prijs per KG € 15,87",Nutri-Score A,True,True,,,2.7 g,91 kJ (22 kcal),,,,1.1 g,,,,,,0.3 g,,,,,,,,,,,,1.9 g,,,0.1 g,,0.07 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,0.99,AH Mini krieltjes,"600 gPrijs per KG € 1,65",Nutri-Score A,True,True,,,2 g,367 kJ (87 kcal),,,,18 g,,,,,,0.3 g,,,,,,,,,,,,2 g,,,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,5.69,Zespri Kiwi sungold,"750 gPrijs per KG € 7,59",Nutri-Score A,True,True,,,1 g,243 kJ (58 kcal),,,,12 g,,,,,315 mg,0.3 g,,,,,,,,135 mg,,,,1.4 g,,,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.49,AH Biologisch Courgette,"per stukPrijs per KG € 4,97",Nutri-Score A,True,True,,,2 g,124 kJ (29 kcal),,,,5 g,,,,,,0 g,,,,,,,,16 mg,,,,0.6 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.99,AH Witte champignons,"400 gPrijs per KG € 4,98",Nutri-Score A,True,True,,,2.3 g,76 kJ (18 kcal),,,,0.4 g,0.72 mg,,,,320 mg,0.5 g,,,,0.3 mg,0 mg,0 mg,,,,,,1.5 g,,,0.3 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.69,AH Bospeen,per bos,Nutri-Score A,False,False,,,0.7 g,136 kJ (32 kcal),,,,5.5 g,,,,,,0.3 g,,,,,,,,,,,,2.4 g,,,,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.39,AH Biologisch Rode bieten gekookt,"500 gPrijs per KG € 2,78",Nutri-Score A,True,True,,,1.2 g,126 kJ (30 kcal),,,,4.6 g,,,,,344 mg,0.1 g,,,,,,,,,,,,2.9 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.15,AH Aardappelschijfjes,"600 gPrijs per KG € 1,92",Nutri-Score A,True,True,,,2 g,365 kJ (87 kcal),,,,18 g,,,,,,0.3 g,,,,,,,,,,,,2 g,,,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,0.45,AH Rode peper,"per stukPrijs per KG € 22,50",Nutri-Score A,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,2.19,AH Conference schaal,4 stuks,Nutri-Score A,True,True,,,0.2 g,236 kJ (56 kcal),,,,12 g,,,,,,0.3 g,,,,,,,,,,,,2.2 g,,,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,0.79,AH Citroen los,"per stukPrijs per KG € 3,95",Nutri-Score A,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.50,AH Macaroni spaghetti groente,"450 gPrijs per KG € 3,33",Nutri-Score A,True,True,,,1.2 g,124 kJ (30 kcal),,,,4.4 g,,,,,,0.2 g,,,,,,,,,,,,2.7 g,,,0.06 g,,0.03 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.59,AH Kastanjechampignons,"250 gPrijs per KG € 6,36",Nutri-Score A,True,True,,,2.5 g,124 kJ (29 kcal),,,,4.3 g,,,,,,0.1 g,,,,0.49 mg,3.8 mg,1.5 mg,,,,,,0.6 g,,,0.04 g,,0.01 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.29,AH Bleekselderij,per stuk,Nutri-Score A,False,False,,,1 g,60 kJ (14 kcal),,,,2 g,,,,,,0 g,,,,,,,,25 mg,,,,1.1 g,,,,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.99,AH Snoepgroente tomatenmix,"250 gNormale prijs per KG € 7,96",Nutri-Score A,True,True,,,0.9 g,128 kJ (31 kcal),,,,4 g,,,,,,0.8 g,,,,,,,,24 mg,,,,1.9 g,,,0.5 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,4.39,AH Kiwi groen,"1 kgPrijs per KG € 4,39",Nutri-Score A,True,True,,,0.9 g,250 kJ (59 kcal),34.2 µg,,,11 g,,,,,312 mg,0.8 g,,,,,,,,79 mg,,,,2.3 g,,,0.4 g,,0.2 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,2.19,AH Wokgroente Chinees,"400 gPrijs per KG € 5,48",Nutri-Score A,True,True,,,2 g,122 kJ (29 kcal),,,,3.4 g,,,,,,0.2 g,,,,,,,,,,,,2.8 g,,,0.2 g,,0.02 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.50,AH Nasi groente,"450 gPrijs per KG € 3,33",Nutri-Score A,True,True,,,1.7 g,146 kJ (35 kcal),,,,4.5 g,,,,,,0.5 g,,,,,,,,,,,,2.8 g,,,0.3 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,2.59,AH Cotton sweets witte druiven pitloos,"400 gPrijs per KG € 6,48",Nutri-Score A,True,True,,,0.5 g,324 kJ (76 kcal),,,,17 g,,,,,,0.4 g,,,,,,,,,,,,1.4 g,,,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,2.99,AH Mango eetrijp,2 stuks,Nutri-Score A,False,False,0 g,,0.6 g,268 kJ (63 kcal),,,,14 g,,,,,,0.2 g,,,,,,,,23 mg,,,,1.6 g,0 g,0.2 g,0.2 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.89,AH Andijvie gesneden,"400 gPrijs per KG € 4,73",Nutri-Score A,True,True,,,1.5 g,67 kJ (16 kcal),,,,1 g,,,,,,0.3 g,,,,,,,,,,,,1.7 g,,,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,2.89,AH Snoepgroente komkommer,"400 gPrijs per KG € 7,23",Nutri-Score A,True,True,,,0.7 g,54 kJ (13 kcal),,,,1.3 g,,,,,,0.4 g,,,,,,,,,,,20.9 µg,0.6 g,,,0.2 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.09,AH Wortelen,"500 gPrijs per KG € 2,18",Nutri-Score A,True,True,,,0.6 g,137 kJ (33 kcal),,,,5.5 g,,,,,,0.3 g,,,,,,,,,,,,2.8 g,0 g,0.2 g,,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,5.49,AH Snoepgroente tomaat,"1 kgPrijs per KG € 5,49",Nutri-Score A,True,True,,,0.9 g,128 kJ (31 kcal),,,,4 g,,,,,,0.8 g,,,,,,,,24 mg,,,,1.9 g,,,0.5 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,5.99,AH Blauwe bessen,"500 gNormale prijs per KG € 11,98",Nutri-Score A,True,True,,,0.7 g,218 kJ (52 kcal),,,,11 g,,,,,,0 g,,,,,,,,,,,19.3 µg,2.4 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,2.89,AH Frambozen,"125 gPrijs per KG € 23,12",Nutri-Score A,True,True,,,1.4 g,120 kJ (29 kcal),,,,4.5 g,,,,,,0 g,,,,,,,,32 mg,,,,2.5 g,,,0 g,,0 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,1.55,AH Spinazie kleinverpakking,"200 gPrijs per KG € 7,75",Nutri-Score A,True,True,,,3.2 g,108 kJ (26 kcal),,,,0.9 g,,,,,,0.6 g,,,,,,,,,,,,2 g,,,0.4 g,,0.1 g,,,
aardappel-groente-fruit?kenmerk=nutriscore%3Aa,2.79,AH Blauwe bessen,"150 gNormale prijs per KG € 18,60",Nutri-Score A,True,True,,,0.7 g,218 kJ (52 kcal),,,,11 g,,,,,,0 g,,,,,,,,,,,19.3 µg,2.4 g,,,0 g,,0 g,,,
