Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
soepen-sauzen-kruiden-olie,1.19,AH Doperwten wortelen,"680 gPrijs per KG € 2,64",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi39103/ah-doperwten-wortelen,,,2.7 g,182 kJ (43 kcal),,,,4.9 g,,,,,,0.6 g,,,,,,,,,,,,3.8 g,,,0.5 g,,0.1 g,,
soepen-sauzen-kruiden-olie,1.61,AH Mayonaise,"650 mlPrijs per LT € 2,48",Nutri-Score D,False,True,https://www.ah.nl/producten/product/wi904/ah-mayonaise,,,1 g,2544 kJ (618 kcal),,,,2.8 g,,,,,,67 g,,,,,,,,,,,,0 g,41 g,19 g,,,5.4 g,,
soepen-sauzen-kruiden-olie,3.15,Unox Erwtensoep,"570 mlPrijs per LT € 5,53",,False,False,https://www.ah.nl/producten/product/wi162855/unox-erwtensoep,,,3.7 g,73 kcal (305 kJ),,,,5.5 g,,,,,,3.6 g,,,,,,,,,,,,2.2 g,,,,,0.9 g,,
soepen-sauzen-kruiden-olie,1.29,AH Soepstengels volkoren,"125 gPrijs per KG € 10,32",Nutri-Score B,False,True,https://www.ah.nl/producten/product/wi196672/ah-soepstengels-volkoren,,,14 g,1603 kJ (381 kcal),,,,60 g,,,,,,6.5 g,,,,,,,,,,,,13 g,,,5.4 g,,1.1 g,,
soepen-sauzen-kruiden-olie,2.29,Hela Kruiden ketchup curry original,"0,8 lPrijs per LT € 2,86",,False,False,https://www.ah.nl/producten/product/wi441050/hela-kruiden-ketchup-curry-original,,,0.8 g,573 kJ (137 kcal),,,,30.8 g,,,,,,0.3 g,,,,,,,,,,,,,,,,,0.1 g,,
soepen-sauzen-kruiden-olie,1.29,Statesman Tonijn stukken in zonnebloemolie,"160 gPrijs per KG € 8,06",,False,False,https://www.ah.nl/producten/product/wi420788/statesman-tonijn-stukken-in-zonnebloemolie,,,23.5 g,751 kJ (180 kcal),,,,< 0.1 g,,,,,,9.5 g,,,,,,,,,,,,,,,,,1.6 g,,
soepen-sauzen-kruiden-olie,1.39,Heinz Tomaten ketchup,"220 mlPrijs per LT € 6,32",,False,False,https://www.ah.nl/producten/product/wi3401/heinz-tomaten-ketchup,,,1.2 g,435 kJ (102 kcal),,,,23.2 g,,,,,,0.1 g,,,,,,,,,,,,,,,,,< 0.1 g,,
soepen-sauzen-kruiden-olie,1.55,Unox Cup-a-soup tomaat," 3 x 175 mlPrijs per LT € 2,95",,False,False,https://www.ah.nl/producten/product/wi388336/unox-cup-a-soup-tomaat,,,1 g,132 kJ (31 kcal),,,,5.7 g,,,,,,< 0.5 g,,,,,,,,,,,,0.7 g,,,,,0.2 g,,
soepen-sauzen-kruiden-olie,1.69,AH Knoflook,"250 gPrijs per KG € 6,76",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi377126/ah-knoflook,,,6.4 g,671 kJ (158 kcal),,,,31 g,,,,,,0.5 g,,,,,,,,,,,,2.1 g,0 g,0.4 g,,,0.1 g,,
soepen-sauzen-kruiden-olie,3.25,AH Guacamole,"175 gPrijs per KG € 18,57",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi217356/ah-guacamole,,,2 g,788 kJ (191 kcal),,,,4 g,,,,,,18 g,,,,,,,,,,,,2.5 g,,,14 g,,3 g,,
