Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
diepvries,1.25,AH Broccoliroosjes,"450 gPrijs per KG € 2,78",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi226367/ah-broccoliroosjes,,,3 g,110 kJ (26 kcal),,,,2 g,,,,,,0 g,,,,,,,,,,,,3.1 g,,,0 g,,0 g,,
diepvries,2.79,Dr. Oetker Ristorante pizza hawaii,"355 gPrijs per KG € 7,86",Nutri-Score B,False,False,https://www.ah.nl/producten/product/wi513996/dr-oetker-ristorante-pizza-hawaii,,,8.7 g,873 kJ (208 kcal),,,,25 g,,,,,,7.6 g,,,,,,,,,,,,2.2 g,,,,,2.7 g,,
diepvries,2.19,Aviko Aardappelschotel zwitsers,"450 gPrijs per KG € 4,87",,False,False,https://www.ah.nl/producten/product/wi185117/aviko-aardappelschotel-zwitsers,,,6 g,550 kJ (130 kcal),,,,14.5 g,,,,,,5 g,,,,,,,,,,,,2 g,,,,,2.2 g,,
diepvries,2.99,AH Frikandel,"20 stuksPrijs per KG € 2,14",Nutri-Score D,False,False,https://www.ah.nl/producten/product/wi170625/ah-frikandel,,,13 g,938 kJ (225 kcal),,,,7 g,,,,,,16 g,,,,,,,,,,,,0.7 g,,,10 g,,5.4 g,,
diepvries,1.65,AH Biologisch Bladspinazie deelblokjes,"450 gPrijs per KG € 3,67",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi409997/ah-biologisch-bladspinazie-deelblokjes,,,2.8 g,90 kJ (22 kcal),,,,0.6 g,,,,,,0.3 g,,,,,,,,,,,,2.6 g,,,0.2 g,,0 g,,
diepvries,1.89,Mora Kipsaté pittige pindasaus,"160 gPrijs per KG € 11,81",,False,False,https://www.ah.nl/producten/product/wi408980/mora-kipsate-pittige-pindasaus,,,14 g,757 kJ (182 kcal),,,,7 g,,,,,,10 g,,,,,,,,,,,,,,,,,1.6 g,,
diepvries,1.03,AH Aardappelpartjes,"600 gPrijs per KG € 1,72",Nutri-Score B,True,True,https://www.ah.nl/producten/product/wi66162/ah-aardappelpartjes,,,2.5 g,590 kJ (140 kcal),,,,20 g,,,,,,5 g,,,,,,,,,,,,2.5 g,,,4.5 g,,0.6 g,,
diepvries,0.81,AH Dubbel likkers,12 stuks,Nutri-Score C,True,True,https://www.ah.nl/producten/product/wi39686/ah-dubbel-likkers,,,0 g,290 kJ (68 kcal),,,,17 g,,,,,,0 g,,,,,,,,,,,,0 g,,,0 g,,0 g,,
diepvries,1.11,AH Rosti rondjes,"600 gPrijs per KG € 1,85",Nutri-Score B,True,True,https://www.ah.nl/producten/product/wi143764/ah-rosti-rondjes,,,2.1 g,664 kJ (158 kcal),,,,23 g,,,,,,6.1 g,,,,,,,,,,,,1.5 g,,,5.4 g,,0.7 g,,
diepvries,5.49,Iglo Vissticks,"20 x 28 gNormale prijs per KG € 9,80",Nutri-Score B,False,False,https://www.ah.nl/producten/product/wi191096/iglo-vissticks,,,12 g,905 kJ (216 kcal),,,,21 g,,,,,,9.1 g,,,,,,,,,,,,0.9 g,,,,,0.7 g,,
diepvries,1.49,The Ice Co Premium super ijsblokjes,"1 kgPrijs per KG € 1,49",,False,False,https://www.ah.nl/producten/product/wi413194/the-ice-co-premium-super-ijsblokjes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diepvries,2.39,Aviko Aardappelkroketjes,"750 gPrijs per KG € 3,19",,False,False,https://www.ah.nl/producten/product/wi183521/aviko-aardappelkroketjes,,,2.5 g,715 kJ (170 kcal),,,,26.5 g,,,,,,5.5 g,,,,,,,,,,,,2.5 g,,,,,0.7 g,,
diepvries,4.99,Ola Split,9 stuks,,False,False,https://www.ah.nl/producten/product/wi163522/ola-split,,,1.5 g,110 kcal (480 kJ),,,,20 g,,,,,,3 g,,,,,,,,,,,,,,,,,2.5 g,,
diepvries,2.75,AH Doosje met frambozen,"250 gPrijs per KG € 11,00",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi162672/ah-doosje-met-frambozen,,,0.8 g,141 kJ (34 kcal),,,,5.1 g,,,,,,0.3 g,,,,,,,,19 mg,,,,3.7 g,,,0.2 g,,0.1 g,,
